<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRE.US,D,20050420,000000,19.0543,19.1071,18.7957,18.9618,1581053.6319239,0
DRE.US,D,20050421,000000,19.0543,19.0543,18.7957,18.8614,1349562.1031542,0
DRE.US,D,20050422,000000,18.9479,19.0593,18.8176,19.0593,940723.19608706,0
DRE.US,D,20050425,000000,19.113,19.4333,19.0464,19.4333,644281.60959095,0
DRE.US,D,20050426,000000,19.4671,19.4989,19.2135,19.312,678511.04003204,0
DRE.US,D,20050427,000000,19.3587,19.5278,19.1727,19.5278,509678.29036654,0
DRE.US,D,20050428,000000,19.2771,19.3507,19.0872,19.1797,836083.44719209,0
DRE.US,D,20050429,000000,19.4204,19.6292,19.0742,19.4989,1243246.3729238,0
DRE.US,D,20050502,000000,19.6611,19.68,19.1578,19.4144,705129.68540472,0
DRE.US,D,20050503,000000,19.481,19.7894,19.3587,19.7894,1229103.5838146,0
DRE.US,D,20050504,000000,19.8491,20.0112,19.7257,19.9923,729760.67924764,0
DRE.US,D,20050505,000000,19.9923,20.0729,19.7963,19.9674,704210.76102526,0
DRE.US,D,20050506,000000,19.8152,19.9923,19.6233,19.7764,597898.04695805,0
DRE.US,D,20050509,000000,19.8282,20.2777,19.8093,20.2777,679268.09698798,0
DRE.US,D,20050510,000000,19.9167,19.9495,19.6163,19.7108,1101647.5659179,0
DRE.US,D,20050511,000000,19.6611,19.864,19.5924,19.8093,876083.80316722,0
DRE.US,D,20050512,000000,19.867,19.867,19.4045,19.5338,702080.34443874,0
DRE.US,D,20050513,000000,19.6233,19.6362,19.3448,19.3796,582684.51992302,0
DRE.US,D,20050516,000000,19.3249,19.5338,19.2881,19.4989,1008408.9138097,0
DRE.US,D,20050517,000000,19.481,19.7387,19.4413,19.7108,652496.6326813,0
DRE.US,D,20050518,000000,19.864,20.2917,19.8152,20.2917,1333439.705617,0
DRE.US,D,20050519,000000,20.3175,20.4538,20.1972,20.2419,870147.99404649,0
DRE.US,D,20050520,000000,20.2469,20.4279,19.9873,20.4279,939201.03907338,0
DRE.US,D,20050523,000000,20.5175,20.5175,20.1892,20.2419,742841.77892071,0
DRE.US,D,20050524,000000,20.1574,20.1972,19.8013,19.8739,1014337.6852164,0
DRE.US,D,20050525,000000,19.9754,20.0599,19.5059,19.5278,960039.71042251,0
DRE.US,D,20050526,000000,19.6113,19.7526,19.4751,19.494,1053428.1653016,0
DRE.US,D,20050527,000000,19.6909,19.7257,19.5477,19.5924,616600.26939432,0
DRE.US,D,20050531,000000,19.6909,19.8491,19.6044,19.673,1079287.7429428,0
DRE.US,D,20050601,000000,19.7894,20.5403,19.6979,19.9923,670748.44141735,0
DRE.US,D,20050602,000000,20.04,20.1266,19.7715,19.7963,814936.12181179,0
DRE.US,D,20050603,000000,19.864,19.9336,19.673,19.7526,594403.31923047,0
DRE.US,D,20050606,000000,19.8212,19.9336,19.6839,19.8958,1583641.4999247,0
DRE.US,D,20050607,000000,19.9336,20.1524,19.8351,19.8888,777828.26631774,0
DRE.US,D,20050608,000000,19.9555,20.1385,19.8351,19.864,717750.31750032,0
DRE.US,D,20050609,000000,19.867,19.8809,19.673,19.8739,656146.19011833,0
DRE.US,D,20050610,000000,19.8739,19.9018,19.7257,19.8491,544207.3263493,0
DRE.US,D,20050613,000000,19.7764,19.9336,19.7257,19.9167,1987003.0546731,0
DRE.US,D,20050614,000000,19.9018,20.1892,19.8152,20.1823,1008863.3490608,0
DRE.US,D,20050615,000000,20.3096,20.3096,19.9923,20.1892,764746.16125696,0
DRE.US,D,20050616,000000,20.1892,20.1892,19.9018,20.0729,986653.32885657,0
DRE.US,D,20050617,000000,19.9923,20.421,19.9823,20.413,1341041.4421959,0
DRE.US,D,20050620,000000,20.3633,20.4279,20.2191,20.3096,753035.4050513,0
DRE.US,D,20050621,000000,20.4538,20.4687,20.1077,20.1146,956543.97730721,0
DRE.US,D,20050622,000000,20.2698,20.3862,20.0778,20.1524,657216.92804407,0
DRE.US,D,20050623,000000,20.3931,20.5543,20.2032,20.3235,786800.34636404,0
DRE.US,D,20050624,000000,20.231,20.2917,19.8809,19.9992,607781.00828202,0
DRE.US,D,20050627,000000,19.9992,20.1773,19.9674,20.1385,526262.16086898,0
DRE.US,D,20050628,000000,20.2628,20.2698,20.0729,20.2032,855698.56168148,0
DRE.US,D,20050629,000000,20.231,20.3693,20.1146,20.3563,894485.4146741,0
DRE.US,D,20050630,000000,20.3931,20.3931,20.1266,20.1773,616906.91265004,0
DRE.US,D,20050701,000000,20.2628,20.5175,20.1703,20.5175,593482.38407556,0
